         1019788547 function calls (955452027 primitive calls) in 1469.368 seconds

   Ordered by: cumulative time
   List reduced from 1264 to 60 due to restriction <60>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    17316    0.509    0.000  126.763    0.007 /Users/yurucui/Desktop/DRO-Code/DRO-aistats-submission/src/policy/mf_dro.py:275(_extract_mf_state)
    17316    0.148    0.000  124.688    0.007 /Users/yurucui/Desktop/DRO-Code/DRO-aistats-submission/src/policy/mf_dro.py:130(_reference_grid_features)
    15228    0.441    0.000  124.255    0.008 /Users/yurucui/Desktop/DRO-Code/DRO-aistats-submission/src/policy/mf_dro.py:745(_gp_candidate_features)
  2327292   30.981    0.000  110.147    0.000 /Users/yurucui/Desktop/DRO-Code/DRO-aistats-submission/.venv/lib/python3.9/site-packages/scipy/stats/_distn_infrastructure.py:2044(cdf)
    32508    2.024    0.000   96.563    0.003 /Users/yurucui/Desktop/DRO-Code/DRO-aistats-submission/src/policy/mf_dro.py:567(_compute_mes_hf_vectorized)
   417388    1.055    0.000   86.034    0.000 /Users/yurucui/Desktop/DRO-Code/DRO-aistats-submission/.venv/lib/python3.9/site-packages/gpytorch/kernels/kernel.py:306(covar_dist)
   417388    4.294    0.000   84.440    0.000 /Users/yurucui/Desktop/DRO-Code/DRO-aistats-submission/.venv/lib/python3.9/site-packages/gpytorch/kernels/kernel.py:26(sq_dist)
   181944    0.132    0.000   67.605    0.000 /Users/yurucui/Desktop/DRO-Code/DRO-aistats-submission/.venv/lib/python3.9/site-packages/linear_operator/utils/cholesky.py:50(psd_safe_cholesky)
   181944    1.030    0.000   67.473    0.000 /Users/yurucui/Desktop/DRO-Code/DRO-aistats-submission/.venv/lib/python3.9/site-packages/linear_operator/utils/cholesky.py:12(_psd_safe_cholesky)
   181944   65.172    0.000   65.172    0.000 {built-in method torch._C._linalg.linalg_cholesky_ex}
    17316    0.248    0.000   55.917    0.003 /Users/yurucui/Desktop/DRO-Code/DRO-aistats-submission/src/policy/mf_dro.py:685(_y_star_for_model)
   362164    4.404    0.000   51.230    0.000 /Users/yurucui/Desktop/DRO-Code/DRO-aistats-submission/.venv/lib/python3.9/site-packages/botorch/models/transforms/outcome.py:363(untransform_posterior)
599620/495724    2.121    0.000   49.004    0.000 /Users/yurucui/Desktop/DRO-Code/DRO-aistats-submission/.venv/lib/python3.9/site-packages/linear_operator/operators/_linear_operator.py:1723(matmul)
    32508    0.301    0.000   42.781    0.001 /Users/yurucui/Desktop/DRO-Code/DRO-aistats-submission/src/models/ko_gp.py:577(lf_posterior)
15552600/10187712    3.899    0.000   40.461    0.000 /Users/yurucui/Desktop/DRO-Code/DRO-aistats-submission/.venv/lib/python3.9/site-packages/linear_operator/operators/_linear_operator.py:2168(size)
    17280    0.317    0.000   39.089    0.002 /Users/yurucui/Desktop/DRO-Code/DRO-aistats-submission/src/models/ko_gp.py:632(make_fantasy_ko)
14307712/9880048    2.670    0.000   39.035    0.000 /Users/yurucui/Desktop/DRO-Code/DRO-aistats-submission/.venv/lib/python3.9/site-packages/linear_operator/operators/_linear_operator.py:2179(shape)
   417388   38.372    0.000   38.372    0.000 {method 'clamp_min_' of 'torch._C._TensorBase' objects}
230616/126720    0.451    0.000   38.235    0.000 /Users/yurucui/Desktop/DRO-Code/DRO-aistats-submission/.venv/lib/python3.9/site-packages/torch/autograd/function.py:501(apply)
230616/126720    1.272    0.000   37.369    0.000 {built-in method apply}
   898276   36.235    0.000   36.235    0.000 {method 'contiguous' of 'torch._C._TensorBase' objects}
1056828/724328    0.619    0.000   36.117    0.000 /Users/yurucui/Desktop/DRO-Code/DRO-aistats-submission/.venv/lib/python3.9/site-packages/linear_operator/operators/_linear_operator.py:2762(__matmul__)
8596200/4287844    5.982    0.000   34.477    0.000 /Users/yurucui/Desktop/DRO-Code/DRO-aistats-submission/.venv/lib/python3.9/site-packages/gpytorch/lazy/lazy_tensor.py:32(__init__)
       36    0.001    0.000   32.742    0.910 /Users/yurucui/Desktop/DRO-Code/DRO-aistats-submission/src/policy/mf_dro.py:2448(_update_ko_ensemble)
      108    0.025    0.000   32.741    0.303 /Users/yurucui/Desktop/DRO-Code/DRO-aistats-submission/src/models/ko_gp.py:417(fit)


